Stadtteil,Mietpreis pro qm,Gruenflaeche,AQI,Fahrradhausanzahl,Flaeche,Anzahl_Punkte
Allermöhe,9.67255494038344,64.5282,2.211251302234055,,8.645889439254942,
Alsterdorf,11.17867462862816,43.2205,2.16680208937899,,3.152300871916889,4698.0
Altengamme,9.47397938223054,1.2187,2.211251302234055,,15.605402117118146,1639.0
Altona-Altstadt,10.7202465514164,30.2225,2.16680208937899,9.0,2.716112276059931,4796.0
Altona-Nord,11.50444262953117,8.260200000000001,2.16680208937899,45.0,2.216384762735775,2513.0
Bahrenfeld,10.330243759149,334.75890000000004,2.16680208937899,3.0,10.534082071963413,8492.0
Barmbek-Nord,10.35144739634928,59.0004,2.16680208937899,4.0,3.847326472204601,6213.0
Barmbek-Süd,10.51695632308143,31.269900000000003,2.16680208937899,10.0,3.091089205445396,
Bergedorf,9.54203189360139,159.38060000000002,2.211251302234055,,10.348868599966853,8524.0
Bergstedt,9.8572182386084,29.6124,2.201276842716193,,7.035939472827065,4711.0
Billbrook,8.36472703045473,17.192400000000003,2.16680208937899,,6.285402738795647,2618.0
Billstedt,8.85675465076737,375.1621,2.201276842716193,,16.912571877282463,13282.0
Billwerder,9.83770511193352,82.96470000000001,2.201276842716193,,9.460958972557059,986.0
Blankenese,11.76406665370848,97.6823,2.128148578061521,1.0,7.730078801894664,3969.0
Borgfelde,10.63493478307278,6.046,2.16680208937899,,0.8211273225779278,913.0
Bramfeld,9.48662198077444,156.44169999999997,2.16680208937899,,10.06010830653727,8658.0
Cranz,9.34747681550516,0.585,2.128148578061521,,1.3322265385786445,571.0
Curslack,9.60493840705059,18.7545,2.211251302234055,,10.568284883301864,930.0
Dulsberg,9.67903215123385,15.346900000000002,2.16680208937899,1.0,1.2235835655605425,1873.0
Duvenstedt,10.6700167537834,6.8367,2.1568195008705744,,6.777426162388417,3689.0
Eidelstedt,9.96571049146035,62.4667,2.16680208937899,,8.71578058700266,6979.0
Eilbek,10.40595498790437,14.7337,2.16680208937899,,1.7485808166667984,2248.0
Eimsbüttel,11.28029168978371,23.3559,2.16680208937899,152.0,3.221716026004287,
Eißendorf,9.22118584097185,101.2829,2.179303160087973,,8.33340796708781,
